"package","author"
"foreach","{Revolution Analytics} and Steve Weston}"
"fortunes","Achim Zeileis and the R community"
"sm","Adrian Bowman and Adelchi Azzalini"
"pbivnorm","Alan Genz and Brenton Kenkel"
"R2WinBUGS","Andrew Gelman and Sibylle Sturtz and Uwe Ligges and Gregor Gorjanc and Jouni Kerman"
"BiplotGUI","Anthony la Grange and  N. J. le Roux and P.J. Rousseeuw and I. Ruts and J. W. Tukey"
"quadprog","Berwin A. Turlach and Andreas Weingessel"
"oz","Bill Venables and Kurt Hornik"
"RODBC","Brian Ripley and Michael Lapsley"
"hexbin","Dan Carr and Nicholas Lewin-Koh and Martin Maechler"
"rgl","Daniel Adler and Duncan Murdoch"
"ash","David W. Scott and Albrecht Gebhardt and Stephen Kaluzny"
"digest","Dirk Eddelbuettel"
"mapproj","Doug McIlroy and Ray Brownrigg and Thomas P Minka and Roger Bivand"
"Sleuth2","F. L. Ramsey and D. W. Schafer and Jeannie Sifneos and Berwin A. Turlach"
"flashClust","Fionn Murtagh and {R development team} and Peter Langfelder"
"Hmisc","Frank E. {Harrell, Jr.}"
"rms","Frank E. {Harrell, Jr.}"
"gmodels","Gregory R. Warnes andBen Bolker and Thomas Lumley and Randall C Johnson and Randall C. Johnson"
"akima","H. Akima and Albrecht Gebhardt and Thomas Petzoldt and Martin Maechler"
"Hmisc","Harrell, Jr., Frank E"
"gWidgets","John Verzani"
"bcpa","Jose Claudio Faria and Clarice Garcia Borges Demetrio"
"ElemStatLearn","Kjetil Halvorsen"
"Fahrmeir","Kjetil Halvorsen"
"randomForest","Leo Breiman and Adele Cutler and Andy Liaw and Matthew Wiener"
"epiR","Mark Stevenson and Telmo Nunes and Cord Heuer and Jonathon Marshall and Javier Sanchez and Ron Thornton and Jeno Reiczigel and Jim Robison-Cox and Paola Sebastiani and Peter Solymos"
"RgoogleMaps","Markus Loecher"
"contrast","Max Kuhn and Steve Weston and Jed Wing and James Forester"
"mathgraph","Patrick J. Burns and Nick Efthymiou and Claus Dethlefsen"
"maps","Ray Brownrigg"
"cacheSweave","Roger D. Peng"
"pscl","Simon Jackman and Alex Tahk and Achim Zeileis and Christina Maimone and Jim Fearon"
"ade4","Stéphane Dray and Anne-Béatrice Dufour and Jean Thioulouse and Thibaut Jombart and Sandrine Pavoine and Jean R. Lobry and Sébastien Ollier and Aurélie Siberchicot and Daniel Chessel"
"bitops","Steve Dutky and Martin Maechler"
"cat","Ted Harding and Fernando Tusell and Joseph L. Schafer"
"date","Terry Therneau and Thomas Lumley and Kjetil Halvorsen and Kurt Hornik"
"leaps","Thomas Lumley"
"CircStats","Ulric Lund and Claudio Agostinelli"
"tuneR","Uwe Ligges"
"robustbase","Valentin Todorov and Andreas Ruckstuhl and Matias Salibian-Barrera and Tobias Verbeke and Manuel Koller and Martin Maechler"
"gee","Vincent J Carey and Thomas Lumley and Brian Ripley"
"R2SWF","Yixuan Qiu and Yihui Xie and Cameron Bracken"
